Timestamp,BR,RtoR
25/05/2019 14:12:34.556,-13,-0.752
25/05/2019 14:12:34.612,-12,-0.752
25/05/2019 14:12:34.668,-10,-0.752
25/05/2019 14:12:34.724,-7,-0.752
25/05/2019 14:12:34.780,-5,-0.752
25/05/2019 14:12:34.836,-1,0.796
25/05/2019 14:12:34.892,1,0.796
25/05/2019 14:12:34.948,5,0.796
25/05/2019 14:12:35.004,10,0.796
25/05/2019 14:12:35.060,13,0.796
25/05/2019 14:12:35.116,18,0.796
25/05/2019 14:12:35.172,21,0.796
25/05/2019 14:12:35.228,25,0.796
25/05/2019 14:12:35.284,30,0.796
25/05/2019 14:12:35.340,34,0.796
25/05/2019 14:12:35.444,40,0.796
25/05/2019 14:12:35.500,48,0.796
25/05/2019 14:12:35.556,60,0.796
25/05/2019 14:12:35.612,73,0.796
25/05/2019 14:12:35.668,85,-0.78
25/05/2019 14:12:35.724,99,-0.78
25/05/2019 14:12:35.780,109,-0.78
25/05/2019 14:12:35.836,119,-0.78
25/05/2019 14:12:35.892,125,-0.78
25/05/2019 14:12:35.948,129,-0.78
25/05/2019 14:12:36.004,132,-0.78
25/05/2019 14:12:36.060,134,-0.78
25/05/2019 14:12:36.116,135,-0.78
25/05/2019 14:12:36.172,137,-0.78
25/05/2019 14:12:36.228,137,-0.78
25/05/2019 14:12:36.284,137,-0.78
25/05/2019 14:12:36.340,136,-0.78
25/05/2019 14:12:36.396,133,0.776
25/05/2019 14:12:36.444,128,0.776
25/05/2019 14:12:36.500,123,0.776
25/05/2019 14:12:36.556,116,0.776
25/05/2019 14:12:36.612,110,0.776
25/05/2019 14:12:36.668,101,0.776
25/05/2019 14:12:36.724,93,0.776
25/05/2019 14:12:36.780,85,0.776
25/05/2019 14:12:36.836,77,0.776
25/05/2019 14:12:36.892,70,0.776
25/05/2019 14:12:36.948,61,0.776
25/05/2019 14:12:37.004,53,0.776
25/05/2019 14:12:37.060,47,0.776
25/05/2019 14:12:37.116,40,-0.8
25/05/2019 14:12:37.172,35,-0.8
25/05/2019 14:12:37.228,30,-0.8
25/05/2019 14:12:37.284,27,-0.8
25/05/2019 14:12:37.340,25,-0.8
25/05/2019 14:12:37.396,24,-0.8
25/05/2019 14:12:37.444,25,-0.8
25/05/2019 14:12:37.500,25,-0.8
25/05/2019 14:12:37.556,27,-0.8
25/05/2019 14:12:37.612,29,-0.8
25/05/2019 14:12:37.668,30,-0.8
25/05/2019 14:12:37.724,31,-0.8
25/05/2019 14:12:37.780,31,-0.8
25/05/2019 14:12:37.836,30,0.768
25/05/2019 14:12:37.892,29,0.768
25/05/2019 14:12:37.948,26,0.768
25/05/2019 14:12:38.004,23,0.768
25/05/2019 14:12:38.060,17,0.768
25/05/2019 14:12:38.116,11,0.768
25/05/2019 14:12:38.172,5,0.768
25/05/2019 14:12:38.228,-1,0.768
25/05/2019 14:12:38.284,-8,0.768
25/05/2019 14:12:38.340,-15,0.768
25/05/2019 14:12:38.396,-23,0.768
25/05/2019 14:12:38.444,-30,0.768
25/05/2019 14:12:38.500,-37,0.768
25/05/2019 14:12:38.556,-43,0.768
25/05/2019 14:12:38.612,-49,-0.744
25/05/2019 14:12:38.668,-53,-0.744
25/05/2019 14:12:38.724,-55,-0.744
25/05/2019 14:12:38.780,-57,-0.744
25/05/2019 14:12:38.836,-57,-0.744
25/05/2019 14:12:38.892,-57,-0.744
25/05/2019 14:12:38.948,-57,-0.744
25/05/2019 14:12:39.004,-58,-0.744
25/05/2019 14:12:39.060,-59,-0.744
25/05/2019 14:12:39.116,-61,-0.744
25/05/2019 14:12:39.172,-65,-0.744
25/05/2019 14:12:39.228,-69,-0.744
25/05/2019 14:12:39.284,-72,-0.744
25/05/2019 14:12:39.340,-76,0.788
25/05/2019 14:12:39.396,-80,0.788
25/05/2019 14:12:39.444,-84,0.788
25/05/2019 14:12:39.500,-89,0.788
25/05/2019 14:12:39.556,-93,0.788
25/05/2019 14:12:39.612,-97,0.788
25/05/2019 14:12:39.668,-100,0.788
25/05/2019 14:12:39.724,-103,0.788
25/05/2019 14:12:39.780,-104,0.788
25/05/2019 14:12:39.836,-103,0.788
25/05/2019 14:12:39.892,-101,0.788
25/05/2019 14:12:39.948,-99,0.788
25/05/2019 14:12:40.004,-96,0.788
25/05/2019 14:12:40.060,-92,0.788
25/05/2019 14:12:40.116,-89,0.788
25/05/2019 14:12:40.172,-85,0.788
25/05/2019 14:12:40.228,-80,0.788
25/05/2019 14:12:40.284,-75,0.788
25/05/2019 14:12:40.340,-72,-0.796
25/05/2019 14:12:40.396,-68,-0.796
25/05/2019 14:12:40.444,-64,-0.796
25/05/2019 14:12:40.500,-59,-0.796
25/05/2019 14:12:40.556,-53,-0.796
25/05/2019 14:12:40.612,-44,-0.796
25/05/2019 14:12:40.668,-34,-0.796
25/05/2019 14:12:40.724,-19,-0.796
25/05/2019 14:12:40.780,-5,-0.796
25/05/2019 14:12:40.836,11,-0.796
25/05/2019 14:12:40.892,28,-0.796
25/05/2019 14:12:40.948,43,-0.796
25/05/2019 14:12:41.004,59,-0.796
25/05/2019 14:12:41.060,72,0.78
25/05/2019 14:12:41.116,84,0.78
25/05/2019 14:12:41.172,93,0.78
25/05/2019 14:12:41.228,100,0.78
25/05/2019 14:12:41.284,105,0.78
25/05/2019 14:12:41.340,108,0.78
25/05/2019 14:12:41.396,110,0.78
25/05/2019 14:12:41.444,110,0.78
25/05/2019 14:12:41.500,109,0.78
25/05/2019 14:12:41.556,106,0.78
25/05/2019 14:12:41.612,104,0.78
25/05/2019 14:12:41.668,100,0.78
25/05/2019 14:12:41.724,95,0.78
25/05/2019 14:12:41.780,89,-0.74
25/05/2019 14:12:41.836,83,-0.74
25/05/2019 14:12:41.892,75,-0.74
25/05/2019 14:12:41.948,66,-0.74
25/05/2019 14:12:42.004,56,-0.74
25/05/2019 14:12:42.060,46,-0.74
25/05/2019 14:12:42.116,36,-0.74
25/05/2019 14:12:42.172,26,-0.74
25/05/2019 14:12:42.228,15,-0.74
25/05/2019 14:12:42.284,4,-0.74
25/05/2019 14:12:42.340,-4,-0.74
25/05/2019 14:12:42.444,-15,-0.74
25/05/2019 14:12:42.500,-25,-0.74
25/05/2019 14:12:42.556,-36,-0.74
25/05/2019 14:12:42.612,-48,0.78
25/05/2019 14:12:42.668,-59,0.78
25/05/2019 14:12:42.724,-71,0.78
25/05/2019 14:12:42.780,-82,0.78
25/05/2019 14:12:42.836,-92,0.78
25/05/2019 14:12:42.892,-95,0.78
25/05/2019 14:12:42.948,-95,0.78
25/05/2019 14:12:43.004,-91,0.78
25/05/2019 14:12:43.060,-86,0.78
25/05/2019 14:12:43.116,-78,0.78
25/05/2019 14:12:43.172,-69,0.78
25/05/2019 14:12:43.228,-61,0.78
25/05/2019 14:12:43.284,-50,0.78
25/05/2019 14:12:43.340,-42,-0.772
25/05/2019 14:12:43.396,-31,-0.772
25/05/2019 14:12:43.444,-22,-0.772
25/05/2019 14:12:43.500,-15,-0.772
25/05/2019 14:12:43.556,-7,-0.772
25/05/2019 14:12:43.612,-1,-0.772
25/05/2019 14:12:43.668,4,-0.772
25/05/2019 14:12:43.724,10,-0.772
25/05/2019 14:12:43.780,14,-0.772
25/05/2019 14:12:43.836,17,-0.772
25/05/2019 14:12:43.892,19,-0.772
25/05/2019 14:12:43.948,20,-0.772
25/05/2019 14:12:44.004,19,-0.772
25/05/2019 14:12:44.060,17,0.76
25/05/2019 14:12:44.116,13,0.76
25/05/2019 14:12:44.172,10,0.76
25/05/2019 14:12:44.228,3,0.76
25/05/2019 14:12:44.284,-3,0.76
25/05/2019 14:12:44.340,-8,0.76
25/05/2019 14:12:44.396,-15,0.76
25/05/2019 14:12:44.444,-21,0.76
25/05/2019 14:12:44.500,-26,0.76
25/05/2019 14:12:44.556,-32,0.76
25/05/2019 14:12:44.612,-35,0.76
25/05/2019 14:12:44.668,-38,0.76
25/05/2019 14:12:44.724,-38,0.76
25/05/2019 14:12:44.780,-33,0.76
25/05/2019 14:12:44.836,-22,0.76
25/05/2019 14:12:44.892,-9,0.76
25/05/2019 14:12:44.948,8,0.76
25/05/2019 14:12:45.004,26,0.76
25/05/2019 14:12:45.060,48,0.76
25/05/2019 14:12:45.116,69,0.76
25/05/2019 14:12:45.172,85,0.76
25/05/2019 14:12:45.228,102,0.76
25/05/2019 14:12:45.284,114,0.76
25/05/2019 14:12:45.340,126,0.76
25/05/2019 14:12:45.396,133,0.76
25/05/2019 14:12:45.444,138,0.76
25/05/2019 14:12:45.500,141,0.76
25/05/2019 14:12:45.556,143,-1.528
25/05/2019 14:12:45.612,142,-1.528
25/05/2019 14:12:45.668,140,-1.528
25/05/2019 14:12:45.724,138,-1.528
25/05/2019 14:12:45.780,132,-1.528
25/05/2019 14:12:45.836,127,-1.528
25/05/2019 14:12:45.892,120,-1.528
25/05/2019 14:12:45.948,112,-1.528
25/05/2019 14:12:46.004,104,-1.528
25/05/2019 14:12:46.060,94,-1.528
25/05/2019 14:12:46.116,86,-1.528
25/05/2019 14:12:46.172,76,-1.528
25/05/2019 14:12:46.228,65,-1.528
25/05/2019 14:12:46.284,57,0.744
25/05/2019 14:12:46.340,47,0.744
25/05/2019 14:12:46.396,39,0.744
25/05/2019 14:12:46.444,29,0.744
25/05/2019 14:12:46.500,21,0.744
25/05/2019 14:12:46.556,13,0.744
25/05/2019 14:12:46.612,4,0.744
25/05/2019 14:12:46.668,-3,0.744
25/05/2019 14:12:46.724,-10,0.744
25/05/2019 14:12:46.780,-19,0.744
25/05/2019 14:12:46.836,-26,0.744
25/05/2019 14:12:46.892,-35,0.744
25/05/2019 14:12:46.948,-42,0.744
25/05/2019 14:12:47.004,-50,-0.804
25/05/2019 14:12:47.060,-58,-0.804
25/05/2019 14:12:47.116,-62,-0.804
25/05/2019 14:12:47.172,-68,-0.804
25/05/2019 14:12:47.228,-72,-0.804
25/05/2019 14:12:47.284,-77,-0.804
25/05/2019 14:12:47.340,-80,-0.804
25/05/2019 14:12:47.396,-82,-0.804
25/05/2019 14:12:47.444,-84,-0.804
25/05/2019 14:12:47.500,-86,-0.804
25/05/2019 14:12:47.556,-87,-0.804
25/05/2019 14:12:47.612,-88,-0.804
25/05/2019 14:12:47.668,-89,-0.804
25/05/2019 14:12:47.724,-89,-0.804
25/05/2019 14:12:47.780,-89,-0.804
25/05/2019 14:12:47.836,-89,-0.804
25/05/2019 14:12:47.892,-87,-0.804
25/05/2019 14:12:47.948,-87,-0.804
25/05/2019 14:12:48.004,-85,0.792
25/05/2019 14:12:48.060,-84,0.792
25/05/2019 14:12:48.116,-82,0.792
25/05/2019 14:12:48.172,-81,0.792
25/05/2019 14:12:48.228,-79,0.792
25/05/2019 14:12:48.284,-77,0.792
25/05/2019 14:12:48.340,-76,0.792
25/05/2019 14:12:48.396,-73,0.792
25/05/2019 14:12:48.444,-69,0.792
25/05/2019 14:12:48.500,-65,0.792
25/05/2019 14:12:48.556,-60,0.792
25/05/2019 14:12:48.612,-55,0.792
25/05/2019 14:12:48.668,-48,0.792
25/05/2019 14:12:48.724,-41,-0.784
25/05/2019 14:12:48.780,-35,-0.784
25/05/2019 14:12:48.836,-27,-0.784
25/05/2019 14:12:48.892,-19,-0.784
25/05/2019 14:12:48.948,-6,-0.784
25/05/2019 14:12:49.004,7,-0.784
25/05/2019 14:12:49.060,21,-0.784
